StudentID,Age,Gender,AttendancePercentage,StudyHoursPerWeek,AssignmentCompletionRate,PreviousExamScore,ParticipationScore,ExtracurricularActivities,InternetAccessAtHome,ParentEducationLevel,FinalExamScore
1,23,Male,70,25,60,76,8,Yes,Yes,High School,100.0
2,20,Male,77,10,88,92,8,Yes,No,Postgraduate,100.0
3,21,Female,89,7,86,64,10,Yes,Yes,Graduate,90.24
4,23,Female,50,22,45,59,3,Yes,Yes,Postgraduate,85.26
5,19,Female,85,17,87,97,2,No,Yes,High School,97.35
6,21,Female,70,18,88,53,4,Yes,No,High School,76.08
7,21,Male,92,17,42,42,1,No,Yes,High School,63.06
8,23,Female,84,9,49,37,3,No,Yes,Graduate,63.96
9,18,Female,62,10,44,51,9,Yes,Yes,High School,70.83
10,19,Male,98,10,85,48,7,Yes,Yes,Graduate,82.31
11,23,Male,59,25,65,43,7,Yes,Yes,High School,89.83
12,19,Female,93,7,100,96,1,No,Yes,High School,85.04
13,19,Female,96,16,60,55,7,No,Yes,Graduate,85.33
14,21,Male,59,29,84,71,10,No,Yes,Postgraduate,100.0
15,20,Female,95,18,65,45,7,No,Yes,High School,84.6
16,19,Male,62,6,77,54,4,No,Yes,Graduate,59.58
17,22,Male,86,27,83,69,7,No,Yes,Graduate,100.0
18,21,Male,87,20,65,87,8,No,Yes,Graduate,100.0
19,18,Male,73,1,47,81,3,Yes,Yes,Postgraduate,64.06
20,20,Female,51,1,44,86,10,No,Yes,Postgraduate,77.45
21,22,Male,71,12,54,42,2,No,Yes,High School,55.73
22,22,Male,66,21,98,38,7,No,Yes,Graduate,88.79
23,18,Female,85,28,55,61,5,No,Yes,Graduate,98.69
24,20,Male,63,2,40,78,5,Yes,Yes,Graduate,60.47
25,21,Female,59,4,55,74,5,No,Yes,High School,63.22
26,17,Female,84,17,76,81,7,No,Yes,Postgraduate,98.38
27,20,Female,74,4,42,78,9,Yes,Yes,Graduate,75.47
28,18,Male,52,11,91,82,8,Yes,No,High School,87.62
29,22,Female,96,22,86,86,6,No,Yes,High School,100.0
30,21,Female,87,26,70,45,7,No,Yes,Postgraduate,100.0
31,20,Male,66,4,52,38,9,No,Yes,High School,58.12
32,17,Female,61,1,95,82,6,No,Yes,Graduate,79.35
33,17,Female,73,7,55,60,1,No,Yes,High School,61.08
34,19,Female,78,30,94,73,4,No,Yes,High School,98.44
35,19,Female,92,18,82,92,8,Yes,Yes,High School,100.0
36,23,Female,74,9,60,53,7,Yes,No,High School,72.6
37,18,Male,85,29,41,92,3,No,Yes,High School,100.0
38,20,Female,75,3,93,62,10,No,Yes,Graduate,81.72
39,20,Female,87,8,66,44,3,No,Yes,Graduate,70.81
40,23,Male,50,29,77,92,3,Yes,Yes,High School,100.0
41,22,Male,69,24,65,48,1,No,No,Graduate,78.63
42,22,Male,77,19,97,49,10,Yes,Yes,Graduate,98.79
43,23,Female,65,4,98,67,1,Yes,Yes,Graduate,72.15
44,22,Male,96,18,77,51,6,No,No,Graduate,97.73
45,19,Female,66,20,85,58,1,Yes,Yes,Graduate,86.13
46,20,Female,89,27,64,64,5,No,Yes,Postgraduate,100.0
47,23,Male,77,11,50,96,4,Yes,Yes,Graduate,85.74
48,20,Male,61,27,47,47,5,No,Yes,High School,87.07
49,17,Female,76,14,47,96,7,No,No,Graduate,96.06
50,19,Male,91,25,72,81,6,Yes,Yes,High School,100.0
51,21,Female,96,18,92,50,9,Yes,Yes,High School,99.33
52,19,Male,79,28,46,77,6,Yes,No,Graduate,95.07
53,23,Male,90,28,77,42,9,No,Yes,Graduate,100.0
54,21,Male,83,29,60,37,4,Yes,No,High School,90.18
55,17,Female,86,16,47,46,1,Yes,Yes,Postgraduate,70.07
56,23,Male,55,3,90,50,1,No,Yes,High School,47.75
57,18,Female,56,15,93,93,10,No,Yes,High School,100.0
58,20,Female,81,27,60,83,7,Yes,Yes,Postgraduate,100.0
59,17,Female,81,27,95,97,3,Yes,Yes,Graduate,100.0
60,20,Female,74,4,59,96,2,Yes,Yes,Postgraduate,79.2
61,22,Male,82,5,47,83,6,No,No,Postgraduate,79.3
62,18,Female,56,17,97,85,6,No,Yes,Postgraduate,100.0
63,18,Female,61,7,85,67,7,Yes,Yes,High School,77.67
64,17,Male,65,16,70,64,5,No,Yes,High School,91.03
65,18,Female,65,14,89,93,8,Yes,No,Graduate,100.0
66,21,Male,92,26,96,49,7,Yes,Yes,Graduate,100.0
67,18,Female,85,16,68,57,2,No,Yes,Graduate,76.1
68,20,Male,62,7,87,79,1,Yes,Yes,High School,67.29
69,20,Female,56,9,48,96,9,Yes,Yes,High School,87.36
70,23,Male,85,4,54,49,5,No,No,Graduate,64.09
71,20,Female,96,30,69,80,5,Yes,Yes,High School,100.0
72,23,Female,100,30,65,98,10,Yes,Yes,High School,100.0
73,20,Male,58,22,49,80,4,No,Yes,High School,79.53
74,21,Male,81,11,68,90,2,Yes,Yes,High School,85.6
75,23,Male,60,2,93,78,5,Yes,Yes,Graduate,80.52
76,19,Male,57,12,55,63,2,No,Yes,Graduate,64.41
77,22,Female,82,12,75,96,7,No,Yes,High School,82.71
78,17,Female,72,30,59,86,9,No,Yes,High School,100.0
79,20,Male,74,4,84,88,9,Yes,No,Graduate,95.13
80,18,Female,57,18,93,91,6,No,Yes,High School,93.76
81,20,Male,94,26,76,56,1,Yes,Yes,Postgraduate,95.06
82,18,Male,71,21,61,54,6,No,Yes,Graduate,89.27
83,22,Female,53,7,46,67,5,Yes,Yes,Postgraduate,70.12
84,22,Female,89,29,62,59,4,Yes,Yes,Graduate,100.0
85,22,Female,52,1,80,80,6,No,Yes,High School,67.73
86,18,Female,78,26,79,91,6,Yes,Yes,Graduate,100.0
87,20,Female,90,26,68,39,6,Yes,Yes,High School,99.36
88,22,Female,78,23,55,89,2,No,Yes,High School,91.59
89,21,Female,83,26,77,95,7,Yes,Yes,High School,100.0
90,23,Male,83,13,67,42,4,Yes,Yes,Graduate,77.66
91,18,Male,77,6,87,50,9,Yes,Yes,High School,79.03
92,18,Male,62,6,77,82,10,No,Yes,High School,79.97
93,20,Male,64,12,70,95,2,No,Yes,Graduate,82.93
94,18,Male,72,8,53,49,5,No,Yes,Postgraduate,67.96
95,18,Female,93,24,92,99,4,No,Yes,High School,100.0
96,22,Male,75,22,72,56,9,No,Yes,Graduate,92.1
97,20,Male,53,19,96,37,4,No,Yes,High School,84.88
98,22,Male,75,5,48,88,8,No,Yes,Postgraduate,84.81
99,23,Male,89,18,96,48,8,No,Yes,High School,100.0
100,23,Male,58,30,66,70,6,Yes,Yes,Postgraduate,100.0
101,22,Male,54,5,63,44,6,Yes,Yes,High School,67.99
102,23,Male,81,30,52,83,8,Yes,No,Postgraduate,100.0
103,20,Female,69,25,65,99,10,Yes,Yes,High School,100.0
104,17,Female,99,10,68,91,9,No,Yes,High School,100.0
105,22,Male,60,1,90,61,5,Yes,Yes,High School,62.79
106,21,Female,64,10,88,39,1,Yes,Yes,High School,67.7
107,21,Female,81,5,82,91,1,Yes,Yes,Postgraduate,83.54
108,18,Female,77,12,67,49,2,Yes,Yes,Graduate,71.44
109,23,Female,71,22,67,64,10,Yes,Yes,Graduate,100.0
110,21,Male,90,30,47,54,10,No,Yes,Postgraduate,100.0
111,18,Female,66,27,62,71,5,No,Yes,Graduate,96.06
112,17,Female,75,7,68,37,4,Yes,Yes,Postgraduate,58.4
113,20,Female,93,9,44,75,1,Yes,Yes,High School,62.88
114,20,Male,56,22,81,73,4,Yes,Yes,Postgraduate,91.0
115,20,Male,91,21,46,60,4,Yes,Yes,High School,90.52
116,21,Male,75,12,81,36,10,No,Yes,Graduate,86.5
117,17,Male,74,23,75,57,4,Yes,Yes,Graduate,93.97
118,21,Male,59,29,80,57,1,No,Yes,Graduate,90.12
119,23,Male,94,1,66,50,9,Yes,Yes,Graduate,82.93
120,21,Male,68,11,97,43,3,No,Yes,High School,70.96
121,17,Female,60,30,85,47,4,No,No,Postgraduate,97.64
122,17,Female,62,21,41,62,5,No,No,Postgraduate,82.45
123,23,Female,57,15,64,61,7,Yes,Yes,Postgraduate,85.24
124,17,Male,89,2,48,85,6,Yes,Yes,Postgraduate,80.15
125,17,Male,53,20,92,98,5,No,No,Graduate,100.0
126,20,Male,96,7,66,86,8,Yes,Yes,Postgraduate,91.47
127,23,Male,80,21,40,72,1,Yes,Yes,Postgraduate,87.97
128,19,Male,77,12,62,99,7,No,Yes,Graduate,87.27
129,19,Female,60,22,49,52,6,Yes,Yes,Graduate,82.35
130,17,Female,92,18,81,97,5,No,Yes,Postgraduate,100.0
131,19,Male,50,3,91,85,7,Yes,Yes,Graduate,73.5
132,19,Male,98,7,64,43,3,Yes,Yes,Graduate,73.37
133,17,Male,96,11,93,47,1,No,Yes,High School,81.69
134,19,Male,87,18,100,74,9,No,Yes,Postgraduate,100.0
